Date,SPY,XLK,XLF,XLE,GLD,SLV,GSG,BTC-USD,ETH-USD,TLT
2024-01-01,,,,,,,,44167.33203125,2352.327880859375,
2024-01-02,459.9912414550781,92.39051818847656,36.47821807861328,39.426788330078125,190.72000122070312,21.649999618530273,19.850000381469727,44957.96875,2355.83642578125,89.07843780517578
2024-01-03,456.2345886230469,91.44905853271484,36.1690788269043,40.0688591003418,189.1300048828125,21.059999465942383,20.25,42848.17578125,2210.761962890625,89.44994354248047
2024-01-04,454.7650146484375,90.7787094116211,36.31399154663086,39.366310119628906,189.32000732421875,21.079999923706055,20.190000534057617,44179.921875,2269.0380859375,88.0907974243164
2024-01-05,455.3879089355469,90.7540512084961,36.46855926513672,39.39887237548828,189.35000610351562,21.209999084472656,20.329999923706055,44162.69140625,2268.647216796875,87.24812316894531
2024-01-06,,,,,,,,43989.1953125,2241.624755859375,
2024-01-07,,,,,,,,43943.09765625,2222.865966796875,
2024-01-08,461.8890380859375,93.03129577636719,36.70042037963867,38.942909240722656,187.8699951171875,21.1299991607666,19.950000762939453,46970.50390625,2333.03271484375,88.10891723632812
2024-01-09,461.1882629394531,93.17915344238281,36.46855926513672,38.319454193115234,187.92999267578125,21.0,20.18000030517578,46139.73046875,2344.8271484375,87.54712677001953
2024-01-10,463.7965087890625,93.97274780273438,36.526527404785156,37.942588806152344,187.5,20.940000534057617,20.020000457763672,46627.77734375,2582.103515625,87.13938903808594
2024-01-11,463.5921630859375,94.45085144042969,36.391273498535156,38.0402946472168,187.8699951171875,20.81999969482422,20.25,46368.5859375,2619.619140625,87.62870025634766
2024-01-12,463.91326904296875,94.7564697265625,36.323646545410156,38.46833801269531,189.7100067138672,21.190000534057617,20.290000915527344,42853.16796875,2524.460205078125,87.45653533935547
2024-01-13,,,,,,,,42842.3828125,2576.597900390625,
2024-01-14,,,,,,,,41796.26953125,2472.2412109375,
2024-01-15,,,,,,,,42511.96875,2511.36376953125,
2024-01-16,462.21014404296875,94.99305725097656,36.072479248046875,37.551761627197266,187.91000366210938,20.959999084472656,20.139999389648438,43154.9453125,2587.691162109375,85.91613006591797
2024-01-17,459.6408386230469,94.5248031616211,36.004852294921875,37.24003601074219,185.83999633789062,20.649999618530273,20.15999984741211,42742.65234375,2528.369384765625,85.78021240234375
